FCA Refunds Report (2021-09-28 to 2022-09-28)

Name,Request Date,Customer Name,Total,Pending Approval,Error(s)
"test first test last","2022-09-28","Zarbakht jalil","£1.00","Yes",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No","Refund request to the payment provider failed."
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-27","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No","Refund request to the payment provider failed."
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","Yes",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-26","Zarbakht jalil","£1.00","No",""
"test first test last","2022-09-06","Zarbakht jalil","£2.00","Yes",""
"test first test last","2022-08-19","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-19","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-19","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-19","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-19","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-19","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-17","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-17","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-17","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-15","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-15","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-15","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-15","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-12","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-12","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-12","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-12","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-12","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-12","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-04","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-04","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-04","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-04","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-04","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-04","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-03","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-03","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-03","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-03","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-03","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-03","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-03","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-03","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-03","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","Yes",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","Yes",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","Yes",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","Yes",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","Yes",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","Yes",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
"test first test last","2022-08-01","Zarbakht jalil","£1.00","No",""
